n_e,T_e,B,xi,alpha,t,ripple_initial,ripple_dynamic,yield,E_total,fom,eta
1e+19,5.0,5.0,1.0,0.0,0.01,9.351023218646334e-06,9.351023218646334e-06,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,1.0,0.0,0.1,1.1202610651586917e-05,1.1202610651586917e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,1.0,0.0,1.0,1.0272337852116611e-05,1.0272337852116611e-05,3e+19,1000000.0,300000.0,True
1e+19,5.0,5.0,1.0,0.01,0.01,1.07046110537525e-05,1.07035405926514e-05,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,1.0,0.01,0.1,1.0022220303316246e-05,1.0012198083006696e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,1.0,0.01,1.0,1.0138521793903507e-05,1.0037136575967889e-05,3e+19,1000000.0,300000.0,True
1e+19,5.0,5.0,2.0,0.0,0.01,9.92229680768489e-06,9.92229680768489e-06,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,2.0,0.0,0.1,1.0008706399019482e-05,1.0008706399019482e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,2.0,0.0,1.0,9.01170161384112e-06,9.01170161384112e-06,3e+19,1000000.0,300000.0,True
1e+19,5.0,5.0,2.0,0.01,0.01,9.80284295989745e-06,9.801862675603702e-06,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,2.0,0.01,0.1,1.0636191047711596e-05,1.0625554856660684e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,2.0,0.01,1.0,9.311573805939063e-06,9.218458067877492e-06,3e+19,1000000.0,300000.0,True
1e+19,5.0,5.0,4.0,0.0,0.01,1.0191158595758296e-05,1.0191158595758296e-05,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,4.0,0.0,0.1,1.0258740071877334e-05,1.0258740071877334e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,4.0,0.0,1.0,1.0080193841527719e-05,1.0080193841527719e-05,3e+19,1000000.0,300000.0,True
1e+19,5.0,5.0,4.0,0.01,0.01,9.942107394645354e-06,9.941113183900995e-06,3e+19,10000.0,30000000.0,True
1e+19,5.0,5.0,4.0,0.01,0.1,1.0941280678375274e-05,1.093033939769792e-05,3e+19,100000.0,3000000.0,True
1e+19,5.0,5.0,4.0,0.01,1.0,1.0502525634914877e-05,1.039750037856652e-05,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,1.0,0.0,0.01,9.645024810969692e-06,9.645024810969692e-06,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,1.0,0.0,0.1,1.0328307027741332e-05,1.0328307027741332e-05,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,1.0,0.0,1.0,1.0054060901338806e-05,1.0054060901338806e-05,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,1.0,0.01,0.01,9.75656161434264e-06,9.755585958179639e-06,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,1.0,0.01,0.1,1.0979776659062374e-05,1.0968796882404252e-05,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,1.0,0.01,1.0,1.0335114464316543e-05,1.0231763319675284e-05,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,2.0,0.0,0.01,1.0378270136396594e-05,1.0378270136396594e-05,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,2.0,0.0,0.1,9.723454126428824e-06,9.723454126428824e-06,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,2.0,0.0,1.0,9.635608154291564e-06,9.635608154291564e-06,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,2.0,0.01,0.01,1.1377063765765749e-05,1.1375926059389861e-05,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,2.0,0.01,0.1,9.426247702793013e-06,9.416821455089578e-06,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,2.0,0.01,1.0,1.0111738386943106e-05,1.0010621003076157e-05,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,4.0,0.0,0.01,9.850722591188467e-06,9.850722591188467e-06,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,4.0,0.0,0.1,9.866907198360186e-06,9.866907198360186e-06,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,4.0,0.0,1.0,9.297597959847728e-06,9.297597959847728e-06,3e+19,1000000.0,300000.0,True
1e+19,10.0,5.0,4.0,0.01,0.01,9.644444602259659e-06,9.643480157796763e-06,3e+19,10000.0,30000000.0,True
1e+19,10.0,5.0,4.0,0.01,0.1,9.372823601323003e-06,9.363450777720886e-06,3e+19,100000.0,3000000.0,True
1e+19,10.0,5.0,4.0,0.01,1.0,9.809779462341726e-06,9.711681667717404e-06,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,1.0,0.0,0.01,1.008664958777564e-05,1.008664958777564e-05,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,1.0,0.0,0.1,9.976015756654176e-06,9.976015756654176e-06,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,1.0,0.0,1.0,9.811870415876714e-06,9.811870415876714e-06,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,1.0,0.01,0.01,1.0251116073191818e-05,1.0250090961587275e-05,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,1.0,0.01,0.1,9.379211493786401e-06,9.3698322822874e-06,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,1.0,0.01,1.0,1.0052865506260826e-05,9.952336851198704e-06,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,2.0,0.0,0.01,1.0921781306546788e-05,1.0921781306546788e-05,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,2.0,0.0,0.1,1.0154841369642224e-05,1.0154841369642224e-05,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,2.0,0.0,1.0,9.914585581823376e-06,9.914585581823376e-06,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,2.0,0.01,0.01,9.390735849248081e-06,9.389796775662639e-06,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,2.0,0.01,0.1,9.421584197519524e-06,9.412162613321917e-06,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,2.0,0.01,1.0,1.0391910975576902e-05,1.0287991865819122e-05,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,4.0,0.0,0.01,9.542350121269883e-06,9.542350121269883e-06,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,4.0,0.0,0.1,1.0881456605307007e-05,1.0881456605307007e-05,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,4.0,0.0,1.0,1.0239463114579513e-05,1.0239463114579513e-05,3e+19,1000000.0,300000.0,True
1e+19,20.0,5.0,4.0,0.01,0.01,1.0245298684745956e-05,1.0244274154869104e-05,3e+19,10000.0,30000000.0,True
1e+19,20.0,5.0,4.0,0.01,0.1,9.55603231120082e-06,9.546476278891998e-06,3e+19,100000.0,3000000.0,True
1e+19,20.0,5.0,4.0,0.01,1.0,8.826812124690295e-06,8.738544003438733e-06,3e+19,1000000.0,300000.0,True
1e+20,5.0,5.0,1.0,0.0,0.01,1.0119898815452293e-05,1.0119898815452293e-05,3e+21,10000.0,3000000000.0,True
1e+20,5.0,5.0,1.0,0.0,0.1,1.015016873923534e-05,1.015016873923534e-05,3e+21,100000.0,300000000.0,True
1e+20,5.0,5.0,1.0,0.0,1.0,9.434841215225999e-06,9.434841215225999e-06,3e+21,1000000.0,30000000.0,True
1e+20,5.0,5.0,1.0,0.01,0.01,9.675134238680892e-06,9.674166725255149e-06,3e+21,10000.0,3000000000.0,True
1e+20,5.0,5.0,1.0,0.01,0.1,1.0265515059337202e-05,1.0255249544279484e-05,3e+21,100000.0,300000000.0,True
1e+20,5.0,5.0,1.0,0.01,1.0,9.425211729842728e-06,9.330959612542078e-06,3e+21,1000000.0,30000000.0,True
